env,algorithm,trial,mc_mean,mc_stddev,cvar_regret,optimal_action_prob,catastrophic_count
risky_shortcut_gridworld,CATSO,1000,-99.7667,8.49736,31.3806,0,198.333
risky_shortcut_gridworld,CATSO,2000,-99.6667,6.19045,29.4897,0,199
risky_shortcut_gridworld,CATSO,3000,-100.032,3.31812,28.2626,0,199.667
risky_shortcut_gridworld,CATSO,4000,-100.163,0.704463,27.3202,0,200
risky_shortcut_gridworld,CATSO,5000,-100.263,1.79133,26.1022,0,200
risky_shortcut_gridworld,CATSO,6000,-100.142,2.81049,25.9148,0,199.667
risky_shortcut_gridworld,CATSO,7000,-100.283,2.12581,26.4108,0,200
risky_shortcut_gridworld,CATSO,8000,-100.272,1.47433,26.2856,0,200
risky_shortcut_gridworld,CATSO,9000,-100.195,0.831165,26.2563,0,200
risky_shortcut_gridworld,CATSO,10000,-100.187,0.795076,25.8507,0,200
risky_shortcut_gridworld,CATSO,11000,-100.3,1.52928,25.4937,0,200
risky_shortcut_gridworld,CATSO,12000,-99.935,4.01022,25.2336,0,199.667
risky_shortcut_gridworld,CATSO,13000,-100.222,1.32339,24.9461,0,200
risky_shortcut_gridworld,CATSO,14000,-100.177,3.03032,24.6768,0,199.667
risky_shortcut_gridworld,CATSO,15000,-100.213,1.28923,24.5115,0,200
risky_shortcut_gridworld,CATSO,16000,-100.237,1.3664,24.2786,0,200
risky_shortcut_gridworld,CATSO,17000,-100.165,0.796271,24.0802,0,200
risky_shortcut_gridworld,CATSO,18000,-100.155,0.628036,23.9756,0,200
risky_shortcut_gridworld,CATSO,19000,-100.16,0.696253,23.8755,0,200
risky_shortcut_gridworld,CATSO,20000,-99.8583,3.86904,23.7029,0,199.333
risky_shortcut_gridworld,CATSO,21000,-100.157,0.646251,23.5722,0,200
risky_shortcut_gridworld,CATSO,22000,-100.162,0.685988,23.4401,0,200
risky_shortcut_gridworld,CATSO,23000,-100.138,0.604508,23.3381,0,200
risky_shortcut_gridworld,CATSO,24000,-100.14,0.567002,23.2194,0,200
risky_shortcut_gridworld,CATSO,25000,-100.153,0.703111,23.0781,0,200
risky_shortcut_gridworld,CATSO,26000,-100.155,0.622307,22.9633,0,200
risky_shortcut_gridworld,CATSO,27000,-100.162,0.709524,22.8426,0,200
risky_shortcut_gridworld,CATSO,28000,-100.16,0.766369,22.7518,0,200
risky_shortcut_gridworld,CATSO,29000,-100.163,0.750555,22.6346,0,200
risky_shortcut_gridworld,CATSO,30000,-100.188,1.02431,22.541,0,200
risky_shortcut_gridworld,PATSO,1000,-100.477,4.84706,24.6773,0,199.667
risky_shortcut_gridworld,PATSO,2000,-100.173,1.15939,23.2736,0,200
risky_shortcut_gridworld,PATSO,3000,-100.025,3.71272,22.2574,0,199.667
risky_shortcut_gridworld,PATSO,4000,-100.295,2.09383,21.9012,0,200
risky_shortcut_gridworld,PATSO,5000,-100.163,1.18445,21.6888,0,200
risky_shortcut_gridworld,PATSO,6000,-99.9733,3.82953,21.602,0,199.667
risky_shortcut_gridworld,PATSO,7000,-99.735,5.41933,21.5071,0,199.333
risky_shortcut_gridworld,PATSO,8000,-100.225,1.55827,21.4333,0,200
risky_shortcut_gridworld,PATSO,9000,-100.017,4.17521,21.305,0,199.667
risky_shortcut_gridworld,PATSO,10000,-100.177,1.19793,21.1876,0,200
