env,algorithm,config,eval_tau,run,mc_mean,mc_stddev,mc_cvar,cvar_regret,optimal_action_hit,catastrophic_count
bettinggame,UCT,"bias=auto,eps=0.050000",0.20000000000000001,0,0.35225441932678225,0.43085458325689407,-0.061241799592971803,0.054687499999999965,0,29
bettinggame,UCT,"bias=auto,eps=0.050000",0.20000000000000001,1,0.36111693620681762,0.46716290026825819,-0.0625,0.054687499999999965,0,76
bettinggame,UCT,"bias=auto,eps=0.100000",0.20000000000000001,0,0.41966552734375001,0.44424518591844847,-0.0625,0.062499999999999965,0,69
bettinggame,UCT,"bias=auto,eps=0.100000",0.20000000000000001,1,0.37417026519775393,0.45449125631313086,-0.0625,0.054687499999999965,0,72
bettinggame,UCT,"bias=auto,eps=0.200000",0.20000000000000001,0,0.34471282958984373,0.44174914128661052,-0.0625,0.054687499999999965,0,59
bettinggame,UCT,"bias=auto,eps=0.200000",0.20000000000000001,1,0.33390482902526858,0.43945945353931704,-0.0625,0.054687499999999965,0,61
bettinggame,UCT,"bias=auto,eps=0.500000",0.20000000000000001,0,0.32106582641601561,0.43096554076496218,-0.0625,0.062499999999999965,0,70
bettinggame,UCT,"bias=auto,eps=0.500000",0.20000000000000001,1,0.36080078124999998,0.45915997063739361,-0.0625,0.062499999999999965,0,98
bettinggame,UCT,"bias=2.000000,eps=0.050000",0.20000000000000001,0,0.3396937561035156,0.45242904829508124,-0.0625,0.054687499999999965,0,64
bettinggame,UCT,"bias=2.000000,eps=0.050000",0.20000000000000001,1,0.29365020751953125,0.4399783878824679,-0.0625,0.062499999999999965,0,86
bettinggame,UCT,"bias=2.000000,eps=0.100000",0.20000000000000001,0,0.365347843170166,0.42797836095415881,-0.0625,0.062499999999999965,0,45
bettinggame,UCT,"bias=2.000000,eps=0.100000",0.20000000000000001,1,0.27339759826660154,0.33618955751390833,-0.0625,0.062499999999999965,0,40
bettinggame,UCT,"bias=2.000000,eps=0.200000",0.20000000000000001,0,0.29465461730957032,0.42551769781595217,-0.0625,0.062499999999999965,0,58
bettinggame,UCT,"bias=2.000000,eps=0.200000",0.20000000000000001,1,0.33285217285156249,0.43781771148503745,-0.0625,0.062499999999999965,0,80
bettinggame,UCT,"bias=2.000000,eps=0.500000",0.20000000000000001,0,0.39233917236328125,0.44933487780195391,-0.0625,0.062499999999999965,0,77
bettinggame,UCT,"bias=2.000000,eps=0.500000",0.20000000000000001,1,0.39410797119140623,0.45622119616672063,-0.0625,0.062499999999999965,0,59
bettinggame,UCT,"bias=5.000000,eps=0.050000",0.20000000000000001,0,0.30441162109374997,0.43384353446106511,-0.0625,0.062499999999999965,0,99
bettinggame,UCT,"bias=5.000000,eps=0.050000",0.20000000000000001,1,0.3192010498046875,0.43016469147776631,-0.0625,0.062499999999999965,0,65
bettinggame,UCT,"bias=5.000000,eps=0.100000",0.20000000000000001,0,0.33600463867187502,0.44986342760191245,-0.0625,0.062499999999999965,0,83
bettinggame,UCT,"bias=5.000000,eps=0.100000",0.20000000000000001,1,0.31012565612792969,0.40311945671212479,-0.0625,0.062499999999999965,0,54
bettinggame,UCT,"bias=5.000000,eps=0.200000",0.20000000000000001,0,0.37096996307373048,0.43381560381475809,-0.0625,0.062499999999999965,0,56
bettinggame,UCT,"bias=5.000000,eps=0.200000",0.20000000000000001,1,0.40844507217407228,0.44482174287755039,-0.0625,0.062499999999999965,0,43
bettinggame,UCT,"bias=5.000000,eps=0.500000",0.20000000000000001,0,0.31920578002929689,0.39666968884032511,-0.0625,0.062499999999999965,0,62
bettinggame,UCT,"bias=5.000000,eps=0.500000",0.20000000000000001,1,0.37844726562499997,0.46120915308261529,-0.0625,0.062499999999999965,0,98
bettinggame,UCT,"bias=10.000000,eps=0.050000",0.20000000000000001,0,0.33823278427124026,0.41697090833933431,-0.0625,0.062499999999999965,0,52
bettinggame,UCT,"bias=10.000000,eps=0.050000",0.20000000000000001,1,0.28431098937988281,0.39152484456068942,-0.0625,0.062499999999999965,0,60
bettinggame,UCT,"bias=10.000000,eps=0.100000",0.20000000000000001,0,0.3727118492126465,0.43891080405723099,-0.0625,0.062499999999999965,0,51
bettinggame,UCT,"bias=10.000000,eps=0.100000",0.20000000000000001,1,0.3422254180908203,0.42772895693145019,-0.0625,0.062499999999999965,0,67
bettinggame,UCT,"bias=10.000000,eps=0.200000",0.20000000000000001,0,0.32563214302062987,0.44872843026282938,-0.0625,0.054687499999999965,0,69
bettinggame,UCT,"bias=10.000000,eps=0.200000",0.20000000000000001,1,0.37541976928710935,0.43204177777351022,-0.0625,0.062499999999999965,0,56
bettinggame,UCT,"bias=10.000000,eps=0.500000",0.20000000000000001,0,0.39140869140625001,0.45473241493449557,-0.0625,0.062499999999999965,0,82
bettinggame,UCT,"bias=10.000000,eps=0.500000",0.20000000000000001,1,0.33855834960937498,0.42306514080111651,-0.0625,0.062499999999999965,0,70
bettinggame,CATSO,"atoms=25,optimism=2.000000,p=1.000000,tau=0.050000",0.050000000000000003,0,0.15506022334098815,0.19528508554663546,-0.0625,0.0078125,1,20
bettinggame,CATSO,"atoms=25,optimism=2.000000,p=1.000000,tau=0.050000",0.050000000000000003,1,0.13724979400634765,0.15380243728500265,-0.0625,0,1,17
bettinggame,CATSO,"atoms=25,optimism=2.000000,p=1.000000,tau=0.100000",0.10000000000000001,0,0.12629180908203125,0.15353463667907885,-0.0625,0,1,20
bettinggame,CATSO,"atoms=25,optimism=2.000000,p=1.000000,tau=0.100000",0.10000000000000001,1,0.12303498983383179,0.15394376159176157,-0.060671806335449219,0.023437500000000003,0,15
bettinggame,CATSO,"atoms=25,optimism=2.000000,p=1.000000,tau=0.200000",0.20000000000000001,0,0.083285582065582273,0.088707492780004629,-0.029919469356536867,0.0078124999999999957,1,6
bettinggame,CATSO,"atoms=25,optimism=2.000000,p=1.000000,tau=0.200000",0.20000000000000001,1,0.12259116411209106,0.12078234249430723,-0.037817567586898804,0.0078124999999999957,1,7
bettinggame,CATSO,"atoms=25,optimism=2.000000,p=1.000000,tau=0.250000",0.25,0,0.10563867330551148,0.12284357466007939,-0.038805074691772461,0.0046874999999999972,1,18
bettinggame,CATSO,"atoms=25,optimism=2.000000,p=1.000000,tau=0.250000",0.25,1,0.10636627197265625,0.14600527980058559,-0.042534494400024415,0.0046874999999999972,1,8
bettinggame,CATSO,"atoms=25,optimism=2.000000,p=2.000000,tau=0.050000",0.050000000000000003,0,0.17092747926712037,0.24131945023631651,-0.0625,0.015625,0,41
bettinggame,CATSO,"atoms=25,optimism=2.000000,p=2.000000,tau=0.050000",0.050000000000000003,1,0.12412651419639588,0.15037461066796215,-0.0625,0.0078125,1,17
bettinggame,CATSO,"atoms=25,optimism=2.000000,p=2.000000,tau=0.100000",0.10000000000000001,0,0.040482335090637207,0.077467022232589389,-0.037713384628295897,0.0078125,1,2
bettinggame,CATSO,"atoms=25,optimism=2.000000,p=2.000000,tau=0.100000",0.10000000000000001,1,0.1172817075252533,0.12203415296021201,-0.054008340835571288,0.0078125,1,7
bettinggame,CATSO,"atoms=25,optimism=2.000000,p=2.000000,tau=0.200000",0.20000000000000001,0,0.21963408946990967,0.22948048739845425,-0.043808579444885254,0.0078124999999999957,1,9
bettinggame,CATSO,"atoms=25,optimism=2.000000,p=2.000000,tau=0.200000",0.20000000000000001,1,0.083791058063507076,0.08183155063753865,-0.028155314922332763,0.0078124999999999957,1,3
bettinggame,CATSO,"atoms=25,optimism=2.000000,p=2.000000,tau=0.250000",0.25,0,0.14871384263038634,0.16445370147457933,-0.042473740577697754,0.0046874999999999972,1,13
bettinggame,CATSO,"atoms=25,optimism=2.000000,p=2.000000,tau=0.250000",0.25,1,0.099546239376068116,0.12911371698940446,-0.041481170654296878,0.0093749999999999944,1,18
bettinggame,CATSO,"atoms=25,optimism=2.000000,p=4.000000,tau=0.050000",0.050000000000000003,0,0.079964160919189453,0.10099725211708625,-0.0625,0.023437500000000003,0,12
bettinggame,CATSO,"atoms=25,optimism=2.000000,p=4.000000,tau=0.050000",0.050000000000000003,1,0.10928496360778808,0.13299511124063679,-0.0625,0.0078125,1,14
